N			M			P				F
30			100			0.935			0.9
30			200			0.935			0.91
30			300			0.935			0.896
30			400			0.935			0.9
30			500			0.935			0.922
30			600			0.935			0.728
30			700			0.935			0.801
30			800			0.935			0.791
30			900			0.935			0.914
30			1000		0.935			0.868
40			100			0.951			0.8
40			200			0.951			0.865
40			300			0.951			0.9
40			400			0.951			0.877
40			500			0.951			0.858
40			600			0.951			0.926
40			700			0.951			0.881
40			800			0.951			0.885
40			900			0.951			0.9
40			1000		0.951			0.919
50			100			0.96			0.86
50			200			0.96			0.85
50			300			0.96			0.943
50			400			0.96			0.87
50			500			0.96			0.906
50			600			0.96			0.925
50			700			0.96			0.887
50			800			0.96			0.922
50			900			0.96			0.894
50			1000		0.96			0.899
60			100			0.967			0.9
60			200			0.967			0.915
60			300			0.967			0.936
60			400			0.967			0.922
60			500			0.967			0.902
60			600			0.967			0.905
60			700			0.967			0.9
60			800			0.967			0.0
60			900			0.967			0.903
60			1000		0.967			0.918
70			100			0.971			0.9
70			200			0.971			0.875
70			300			0.971			0.883
70			400			0.971			0.892
70			500			0.971			0.892
70			600			0.971			0.895
70			700			0.971			0.891
70			800			0.971			0.891
70			900			0.971			0.928
70			1000		0.971			0.913
80			100			0.975			0.92
80			200			0.975			0.915
80			300			0.975			0.86
80			400			0.975			0.905
80			500			0.975			0.91
80			600			0.975			0.901
80			700			0.975			0.88
80			800			0.975			0.888
80			900			0.975			0.89
80			1000		0.975			0.896
90			100			0.978			0.89
90			200			0.978			0.0
90			300			0.978			0.9
90			400			0.978			0.917
90			500			0.978			0.876
90			600			0.978			0.881
90			700			0.978			0.894
90			800			0.978			0.911
90			900			0.978			1.0
90			1000		0.978			0.891
100			100			0.98			0.9
100			200			0.98			0.9
100			300			0.98			0.876
100			400			0.98			0.89
100			500			0.98			0.892
100			600			0.98			0.866
100			700			0.98			0.878
100			800			0.98			0.892
100			900			0.98			0.888
100			1000		0.98			0.876
